,cities_tags,purchase_places,stores,countries,countries_tags,countries_fr,code,product_name,generic_name,manufacturing_places,manufacturing_places_tags,main_category_fr,created_datetime,last_modified_datetime
10145,carros-alpes-maritimes-france,"marseille 5°,france",super u,france,france,france,3660992008476,"olives noires, à la grecque","olives noires,","carros,alpes-maritimes","carros,alpes-maritimes",pickles,2015-10-16t09:45:02z,2016-09-16t14:09:41z
10146,"libercourt-pas-de-calais-france,montmelian-savoie-france",marseille 5°,super u,france,france,france,3660992310005,"emmental râpé (29,5 % mg)","fromage industriel, à pâte pressée cuite, au lait pasteurisé de vache, râpé","fromagerie le centurion - flc (filiale sodagral) - 9 rue blaise pascal - zi les portes du nord - 62820 libercourt,pas-de-calais,nord-pas-de-calais,fromager savoyard (filiale sodagral) - avenue de la caronnière - zi la caronnière - 73800 montmélian,savoie,rhône-alpes,france","fromagerie-le-centurion-flc-filiale-sodagral-9-rue-blaise-pascal-zi-les-portes-du-nord-62820-libercourt,pas-de-calais,nord-pas-de-calais,fromager-savoyard-filiale-sodagral-avenue-de-la-caronniere-zi-la-caronniere-73800-montmelian,savoie,rhone-alpes,france",emmental,2014-04-14t11:50:47z,2017-04-13t18:29:59z
10147,roquefort-sur-soulzon-aveyron-france,france,super u,france,france,france,3660992310098,roquefort aop,"fromage industriel de france aop, à pâte persillée, au lait cru de brebis","société affinage conditionnement - ets conditionnement [filiale société des caves et des producteurs réunis de roquefort - scpr (filiale groupe lactalis)] - rue de la clinique - 12250 roquefort-sur-soulzon,aveyron,midi-pyrénées,france","societe-affinage-conditionnement-ets-conditionnement-filiale-societe-des-caves-et-des-producteurs-reunis-de-roquefort-scpr-filiale-groupe-lactalis-rue-de-la-clinique-12250-roquefort-sur-soulzon,aveyron,midi-pyrenees,france",produits labellisés,2013-09-18t17:09:23z,2017-03-11t19:15:03z
10148,"saint-mars-la-jaille-loire-atlantique-france,saint-mars-la-jaille-loire-atlantique-france","lyon,france",u express,france,france,france,3660992320059,lardons nature,lardons nature crus,"société aubret (filiale groupe d'aucy) - zi route de maumusson - 44540 saint-mars-la-jaille,loire-atlantique,pays de la loire,france","societe-aubret-filiale-groupe-d-aucy-zi-route-de-maumusson-44540-saint-mars-la-jaille,loire-atlantique,pays-de-la-loire,france",lardons,2013-10-05t15:46:16z,2017-03-05t09:29:30z
10149,villers-bocage-calvados-france,france,super u,france,france,france,3660992320103,jambon cuit supérieur avec couenne,jambon cuit supérieur avec couenne,france,france,jambons,2016-03-28t10:57:29z,2016-03-28t11:12:09z
10150,"saint-mars-la-jaille-loire-atlantique-france,saint-mars-la-jaille-loire-atlantique-france",france,super u,france,france,france,3660992320165,lardons fumés,lardons fumés,"société aubret (filiale groupe d'aucy) - zi route de maumusson - 44540 saint-mars-la-jaille,loire-atlantique,pays de la loire,france","societe-aubret-filiale-groupe-d-aucy-zi-route-de-maumusson-44540-saint-mars-la-jaille,loire-atlantique,pays-de-la-loire,france",lardons,2013-08-04t11:19:56z,2017-03-05t09:30:04z
10151,"lamballe-cotes-d-armor-france,lamballe-cotes-d-armor-france","lyon,france",u express,france,france,france,3660992320226,poitrine fumée,poitrine fumée,france,france,viandes,2016-01-30t17:45:35z,2016-02-19t14:53:27z
10152,wisches-bas-rhin-france,marseille 5°,super u,france,france,france,3660992325009,"saumon atlantique, fumé au bois de hêtre","saumon atlantique, fumé, décongelé",france,france,saumons,2014-04-09t13:53:43z,2016-11-20t11:41:07z
10153,jouy-yonne-france,"bordeaux,france",magasin u,france,france,france,3660992340019,crème fraîche épaisse (30% mg),crème fraîche épaisse (30% mg),"jouy,yonne,france","jouy,yonne,france",crèmes,2016-09-16t14:13:35z,2016-12-24t14:12:09z
10154,collinee-cotes-d-armor-france,"carvin,france",leclerc,france,france,france,3661112050764,cheese burger,"produit à base de viande hachée de bœuf cuite aromatisée, de pain spécial, de sauce, de fromage fondu et de cornichons","kermené (filiale e.leclerc) - le perey - 22330 saint-jacut-du-mené,côtes-d'armor,bretagne,france","kermene-filiale-e-leclerc-le-perey-22330-saint-jacut-du-mene,cotes-d-armor,bretagne,france",sandwichs,2015-05-29t12:11:42z,2017-03-24t09:07:33z
10155,collinee-cotes-d-armor-france,"saint-loup,france",leclerc,france,france,france,3661112051792,mousse de foie,mousse de foie de qualité supérieure,france,france,produits à tartiner salés,2015-05-13t15:37:35z,2015-11-29t09:05:32z
10156,collinee-cotes-d-armor-france,france,leclerc,france,france,france,3661112051914,rôti de porc,"rôti de porc cuit supérieur, traité en salaison, bruni",france,france,viandes,2015-08-30t11:59:51z,2017-03-23t13:05:41z
10157,collinee-cotes-d-armor-france,"nantes,france",leclerc,france,france,france,3661112052256,allumettes de jambon (2 barquettes),allumettes de jambon cuit standard,"kermené (filiale e.leclerc) - le perey - 22330 saint-jacut-du-mené,côtes-d'armor,bretagne,france","kermene-filiale-e-leclerc-le-perey-22330-saint-jacut-du-mene,cotes-d-armor,bretagne,france",jambons,2012-11-05t21:14:54z,2017-01-06t18:16:36z
10158,collinee-cotes-d-armor-france,"carvin,france",leclerc,france,france,france,3661112052355,jambon supérieur -25% de sel,jambon cuit de qualité supérieure découenné-dégraissé à teneur en sel réduite de 25%,france,france,produits à teneur réduite en sel,2015-09-11t10:41:47z,2015-11-24t17:28:32z
10159,collinee-cotes-d-armor-france,"carvin,france",leclerc,france,france,france,3661112052379,jambon à griller avec couenne,jambon cuit de qualité choix avec couenne,france,france,jambons,2015-11-24t17:38:12z,2017-03-14t16:01:09z
